method_is_get,method_is_post,uri_length,uri_depth,has_query,query_length,special_char_count,digit_ratio,url_encoded_count,has_double_encoding,path_traversal_count,has_sensitive_file,has_cmd_keyword,has_sql_keyword,is_binary_request,status_code,is_4xx,is_5xx,user_agent_length,is_empty_user_agent,is_bot_user_agent,ip,timestamp,size,referrer
1,0,44,6,0,0,7,0.0,0,0,0,1,0,1,0,200,0,0,15,0,0,47.253.5.130,08/Mar/2026:17:49:57 +0000,5408,-
1,0,6,2,0,0,3,0.0,0,0,0,1,0,0,0,200,0,0,31,0,0,45.130.83.245,08/Mar/2026:19:28:41 +0000,1561,-
1,0,1,1,0,0,1,0.0,0,0,0,0,0,0,0,404,1,0,111,0,0,18.212.88.233,08/Mar/2026:19:30:44 +0000,201,-
1,0,12,1,0,0,2,0.0,0,0,0,0,0,0,0,200,0,0,111,0,0,54.90.225.149,08/Mar/2026:19:32:23 +0000,88446,-
1,0,1,1,0,0,1,0.0,0,0,0,0,0,0,0,200,0,0,111,0,0,18.212.86.166,08/Mar/2026:19:36:31 +0000,1561,-
1,0,11,1,0,0,2,0.0,0,0,0,1,0,0,0,200,0,0,111,0,0,34.201.52.155,08/Mar/2026:19:36:34 +0000,1561,-
1,0,1,1,0,0,1,0.0,0,0,0,0,0,0,0,404,1,0,110,0,0,44.220.185.127,08/Mar/2026:20:05:57 +0000,201,-
1,0,1,1,0,0,1,0.0,0,0,0,0,0,0,0,200,0,0,115,0,0,185.242.226.118,08/Mar/2026:20:24:39 +0000,1561,-
0,0,1,1,0,0,1,0.0,0,0,0,0,0,0,0,405,1,0,1,0,0,176.65.134.20,08/Mar/2026:20:25:24 +0000,173,http://101.42.240.142:443/
1,0,1,1,0,0,1,0.0,0,0,0,0,0,0,0,301,0,0,114,0,0,45.92.86.91,08/Mar/2026:20:28:36 +0000,185,-
1,0,1,1,0,0,1,0.0,0,0,0,0,0,0,0,200,0,0,114,0,0,45.92.86.91,08/Mar/2026:20:28:39 +0000,1561,-
1,0,1,1,0,0,1,0.0,0,0,0,0,0,0,0,301,0,0,114,0,0,129.211.166.163,08/Mar/2026:20:32:31 +0000,185,-
1,0,1,1,0,0,1,0.0,0,0,0,0,0,0,0,301,0,0,114,0,0,220.196.160.125,08/Mar/2026:20:32:31 +0000,185,-
1,0,1,1,0,0,1,0.0,0,0,0,0,0,0,0,200,0,0,114,0,0,59.83.208.104,08/Mar/2026:20:32:31 +0000,1561,http://jcw.directionclock.top
1,0,1,1,0,0,1,0.0,0,0,0,0,0,0,0,200,0,0,114,0,0,220.196.160.83,08/Mar/2026:20:32:31 +0000,1561,http://jcw.directionclock.top/
1,0,25,2,0,0,3,0.0,0,0,0,0,0,1,0,301,0,0,18,0,1,42.193.132.157,08/Mar/2026:20:32:31 +0000,185,-
1,0,25,2,0,0,3,0.0,0,0,0,0,0,1,0,301,0,0,18,0,1,42.194.128.111,08/Mar/2026:20:32:31 +0000,185,-
1,0,25,2,0,0,3,0.0,0,0,0,0,0,1,0,200,0,0,18,0,1,42.194.128.111,08/Mar/2026:20:32:34 +0000,1408766,http://jcw.directionclock.top/assets/index-C_NinHPR.js
1,0,25,2,0,0,3,0.0,0,0,0,0,0,1,0,200,0,0,18,0,1,42.193.132.157,08/Mar/2026:20:32:34 +0000,687870,http://jcw.directionclock.top/assets/index-C_NinHPR.js
1,0,1,1,0,0,1,0.0,0,0,0,0,0,0,0,301,0,0,114,0,0,220.196.160.75,08/Mar/2026:20:32:35 +0000,185,-
1,0,1,1,0,0,1,0.0,0,0,0,0,0,0,0,200,0,0,114,0,0,220.196.160.75,08/Mar/2026:20:32:35 +0000,1561,-
1,0,25,2,0,0,3,0.0,0,0,0,0,0,1,0,200,0,0,114,0,0,220.196.160.75,08/Mar/2026:20:32:38 +0000,1554457,https://jcw.directionclock.top/
1,0,26,2,0,0,3,0.11538461538461539,0,0,0,0,0,1,0,200,0,0,114,0,0,220.196.160.75,08/Mar/2026:20:32:44 +0000,372486,https://jcw.directionclock.top/
1,0,25,2,0,0,3,0.04,0,0,0,0,0,1,0,200,0,0,114,0,0,220.196.160.75,08/Mar/2026:20:32:45 +0000,61919,-
